date,btc_adj_close,btc_volume,eth_adj_close,eth_volume,sp500_adj_close,sp500_volume,vti_adj_close,vti_volume,agg_adj_close,agg_volume,tlt_adj_close,tlt_volume
2014-01-02,,,,,1831.97998046875,3080600000,77.40081024169922,3728200,76.41890716552734,1346600,73.026123046875,8580800
2014-01-03,,,,,1831.3699951171875,2774270000,77.38453674316406,3206300,76.44759368896484,2293500,73.026123046875,4083800
2014-01-06,,,,,1826.77001953125,3294850000,77.18102264404297,3169400,76.54803466796875,4413900,73.33346557617188,7796200
2014-01-07,,,,,1837.8800048828125,3511750000,77.6775894165039,2617200,76.5839614868164,1255700,73.51933288574219,4428100
2014-01-08,,,,,1837.489990234375,3652140000,77.73457336425781,3783100,76.35429382324219,1090800,73.31917572021484,8513000
2014-01-09,,,,,1838.1300048828125,3581150000,77.79969787597656,3440500,76.46196746826172,829400,73.7480239868164,6991100
2014-01-10,,,,,1842.3699951171875,3335710000,78.01948547363281,2903700,76.84942626953125,1484400,74.62720489501953,13197400
2014-01-13,,,,,1819.199951171875,3591350000,77.03447723388672,4322200,76.92124938964844,1139500,74.99884033203125,9667400
2014-01-14,,,,,1838.8800048828125,3353270000,77.8811264038086,2660500,76.80635070800781,987500,74.65583038330078,10343100
2014-01-15,,,,,1848.3800048828125,3777800000,78.27184295654297,2525100,76.74179077148438,1664800,74.5771713256836,7507500
2014-01-16,,,,,1845.8900146484375,3491310000,78.21487426757812,3058200,76.92124938964844,3113700,75.07752227783203,7137700
2014-01-17,,,,,1838.699951171875,3626120000,77.91366577148438,2716300,76.95706176757812,588700,75.3919677734375,7588600
2014-01-21,,,,,1843.800048828125,3782470000,78.17417907714844,5557200,76.9929428100586,1777100,75.44918823242188,6436000
2014-01-22,,,,,1844.8599853515625,3374170000,78.32070922851562,1860300,76.82786560058594,892900,75.26331329345703,4646700
2014-01-23,,,,,1828.4599609375,3972250000,77.64502716064453,3223500,77.02881622314453,1901200,76.32827758789062,12960600
2014-01-24,,,,,1790.2900390625,4618450000,75.96808624267578,7275200,77.19385528564453,783200,76.8215103149414,11122200
2014-01-27,,,,,1781.56005859375,4045200000,75.47962188720703,6664700,77.02881622314453,1335000,76.28538513183594,9218200
2014-01-28,,,,,1792.5,3437830000,76.00880432128906,10136000,77.1579360961914,1306400,76.47126770019531,5661500
2014-01-29,,,,,1774.199951171875,3964020000,75.2272720336914,4720200,77.3875732421875,1116200,77.10027313232422,11709400
2014-01-30,,,,,1794.18994140625,3547510000,76.10645294189453,2540800,77.40192413330078,3074400,76.87863159179688,5956900
2014-01-31,,,,,1782.5899658203125,4059690000,75.6098861694336,4099600,77.54541778564453,3195200,77.3932876586914,14690900
2014-02-03,,,,,1741.8900146484375,4726040000,73.83524322509766,6568100,77.80851745605469,1976100,78.33626556396484,20780300
2014-02-04,,,,,1755.199951171875,4068410000,74.39694213867188,3427200,77.62163543701172,2289000,77.50504302978516,9573500
2014-02-05,,,,,1751.6400146484375,3984290000,74.282958984375,3407300,77.4275894165039,1162000,76.78852081298828,10312200
2014-02-06,,,,,1773.4300537109375,3825410000,75.18656921386719,3237300,77.39160919189453,1127700,76.45885467529297,5708700
2014-02-07,,,,,1797.02001953125,3775990000,76.15532684326172,3538500,77.5138168334961,611700,76.5233383178711,7039200
2014-02-10,,,,,1799.8399658203125,3312160000,76.2448501586914,3419800,77.59288787841797,1097200,76.73832702636719,4370500
2014-02-11,,,,,1819.75,3699380000,77.11587524414062,4287900,77.44197845458984,1493200,76.29402160644531,5904900
2014-02-12,,,,,1819.260009765625,3326380000,77.22174072265625,3128700,77.31249237060547,714100,75.89994049072266,6723300
2014-02-13,,,,,1829.8299560546875,3289510000,77.6938705444336,2726400,77.4778823852539,777400,76.32988739013672,6874600
2014-02-14,,,,,1838.6300048828125,3114750000,78.06835174560547,2244000,77.4778823852539,708800,76.3729019165039,4989100
2014-02-18,,,,,1840.760009765625,3421110000,78.29627990722656,3006400,77.52820587158203,940900,76.54486846923828,4855800
2014-02-19,,,,,1828.75,3661570000,77.77529907226562,2320600,77.47065734863281,902600,76.22244262695312,5522500
2014-02-20,,,,,1839.780029296875,3404980000,78.29627990722656,2657600,77.4275894165039,894000,76.03604888916016,5103200
2014-02-21,,,,,1836.25,3403880000,78.23117065429688,1952000,77.49945068359375,395300,76.43737030029297,5250700
2014-02-24,,,,,1847.6099853515625,4014530000,78.67888641357422,2357600,77.4275894165039,838500,76.243896484375,3816700
2014-02-25,,,,,1845.1199951171875,3515560000,78.6463394165039,2427300,77.63604736328125,542100,76.92465209960938,6225400
2014-02-26,,,,,1845.1600341796875,3716730000,78.72772216796875,1934600,77.80138397216797,617000,77.33312225341797,7203900
2014-02-27,,,,,1854.2900390625,3547460000,79.14289855957031,1594000,77.88046264648438,628900,77.75589752197266,5394700
2014-02-28,,,,,1859.449951171875,3917450000,79.28942108154297,2302800,77.83732604980469,1589500,77.79885864257812,8462600
2014-03-03,,,,,1845.72998046875,3428220000,78.7114486694336,2743400,78.0389633178711,2533900,78.31819915771484,11089400
2014-03-04,,,,,1873.9100341796875,3765770000,79.94882202148438,3105300,77.75091552734375,953700,77.14018249511719,8068100
2014-03-05,,,,,1873.81005859375,3392990000,79.9651107788086,1855300,77.79413604736328,2852300,77.30541229248047,4798500
2014-03-06,,,,,1877.030029296875,3360450000,80.11164093017578,2084500,77.62123107910156,689200,76.54395294189453,7418200
2014-03-07,,,,,1878.0400390625,3564740000,80.0871810913086,2312100,77.40516662597656,701700,76.06266784667969,8270300
2014-03-10,,,,,1877.1700439453125,3021350000,80.03022003173828,2586600,77.40516662597656,877800,76.17042541503906,3744300
2014-03-11,,,,,1867.6300048828125,3392400000,79.58248901367188,3718500,77.39793395996094,2060700,76.37157440185547,3815700
2014-03-12,,,,,1868.199951171875,3270860000,79.63948059082031,2225600,77.57083892822266,943300,76.90312957763672,6430500
2014-03-13,,,,,1846.3399658203125,3670990000,78.71957397460938,3482400,77.77250671386719,660900,77.93751525878906,11815500
2014-03-14,,,,,1841.1300048828125,3285460000,78.6219253540039,2892400,77.73649597167969,741800,77.95186614990234,9232800
2014-03-17,,,,,1858.8299560546875,2860490000,79.24871826171875,2735800,77.69327545166016,590800,77.37004852294922,7381900
2014-03-18,,,,,1872.25,2930190000,79.92440032958984,3672500,77.78689575195312,568500,77.6501693725586,4819500
2014-03-19,,,,,1860.77001953125,3289210000,79.4685287475586,2705400,77.441162109375,702000,77.04676055908203,11557600
2014-03-20,,,,,1872.010009765625,3327540000,79.86742401123047,1466900,77.383544921875,1100600,76.91031646728516,5224400
2014-03-21,,,,,1866.52001953125,5270710000,79.57433319091797,2821700,77.49156951904297,756600,77.74347686767578,8986200
2014-03-24,,,,,1857.43994140625,3409000000,79.1103286743164,3922600,77.6068344116211,712800,78.29669952392578,7536400
2014-03-25,,,,,1865.6199951171875,3200560000,79.3907699584961,1740900,77.52760314941406,1377600,78.00212097167969,5032000
2014-03-26,,,,,1852.56005859375,3480850000,78.72852325439453,2896000,77.77250671386719,593900,78.61270141601562,7147200
2014-03-27,,,,,1849.0400390625,3733430000,78.56497192382812,3835100,77.83009338378906,1299200,79.00779724121094,9772200
2014-03-28,,,,,1857.6199951171875,2955520000,78.91655731201172,1533200,77.71484375,865600,78.56242370605469,6027000
2014-03-31,,,,,1872.3399658203125,3274300000,79.69331359863281,2978400,77.72209930419922,1452200,78.36848449707031,7488400
2014-04-01,,,,,1885.52001953125,3336190000,80.31470489501953,3881700,77.60298156738281,760000,77.69876861572266,9067300
2014-04-02,,,,,1890.9000244140625,3131660000,80.56814575195312,2855300,77.47312927246094,1550700,77.25224304199219,6887200
2014-04-03,,,,,1888.77001953125,3055600000,80.34741973876953,2169700,77.5308837890625,1126700,77.59072875976562,4937400
2014-04-04,,,,,1865.0899658203125,3583750000,79.24362182617188,3026800,77.77615356445312,1043600,78.10922241210938,8977500
2014-04-07,,,,,1845.0400390625,3801540000,78.29515075683594,5316200,77.89166259765625,679500,78.5773696899414,7562500
2014-04-08,,,,,1851.9599609375,3721450000,78.63859558105469,3728200,77.98551940917969,1435700,78.76460266113281,4213800
2014-04-09,,,,,1872.1800537109375,3308650000,79.57884216308594,1975300,77.99271392822266,1167100,78.37567138671875,5771500
2014-04-10,,,,,1833.0799560546875,3758780000,77.82911682128906,3283000,78.17305755615234,1033300,79.10305786132812,12706400
2014-04-11,,,,,1815.68994140625,3743460000,77.06057739257812,3380100,78.2452163696289,1168700,79.74402618408203,10267000
2014-04-14,,,,,1830.6099853515625,3111540000,77.58387756347656,3248600,78.27409362792969,1002800,79.53518676757812,4142600
2014-04-15,,,,,1842.97998046875,3736440000,78.11531829833984,3339400,78.28134155273438,1442100,80.0320816040039,7752000
2014-04-16,,,,,1862.31005859375,3155080000,78.93291473388672,4498500,78.32459259033203,2245600,80.13292694091797,5523000
2014-04-17,,,,,1864.8499755859375,3341430000,79.08829498291016,2241100,78.07209014892578,1262900,79.25428771972656,8622500
2014-04-21,,,,,1871.8900146484375,2642500000,79.40715789794922,3043000,78.0648193359375,1018200,79.18949127197266,4316300
2014-04-22,,,,,1879.550048828125,3215440000,79.8159408569336,2442400,78.05044555664062,1034800,79.4559555053711,5748700
2014-04-23,,,,,1875.3900146484375,3085720000,79.61154174804688,1798400,78.12977600097656,746000,79.9096450805664,5748600
2014-04-24,,,,,1878.6099853515625,3191830000,79.71781921386719,1471400,78.20196533203125,494000,80.0608901977539,6337800
2014-04-25,,,,,1863.4000244140625,3213020000,78.94107055664062,1927700,78.2164077758789,489700,80.17611694335938,5976500
2014-04-28,,,,,1869.4300537109375,4034680000,79.0555419921875,2046000,78.16586303710938,523300,79.78719329833984,7606000
2014-04-29,,,,,1878.3299560546875,3647820000,79.44803619384766,3062500,78.20196533203125,858600,79.6791763305664,5235200
2014-04-30,,,,,1883.949951171875,3779230000,79.74236297607422,1423900,78.36070251464844,1313000,80.01046752929688,7721400
2014-05-01,,,,,1883.6800537109375,3416740000,79.76689910888672,1776300,78.47492980957031,1727500,80.86882781982422,11556500
2014-05-02,,,,,1881.1400146484375,3159560000,79.70146942138672,1687900,78.56892395019531,1075300,81.36697387695312,12702100
2014-05-05,,,,,1884.6600341796875,2733730000,79.83230590820312,1300900,78.54000091552734,1261100,80.87606811523438,8043000
2014-05-06,,,,,1867.719970703125,3327260000,79.096435546875,1335400,78.59783172607422,786800,81.20088958740234,6522600
2014-05-07,,,,,1878.2099609375,3632950000,79.46434783935547,1644100,78.59783172607422,664900,80.91214752197266,8199200
2014-05-08,,,,,1875.6300048828125,3393420000,79.25177764892578,1863500,78.64839935302734,2023400,80.56564331054688,10878800
2014-05-09,,,,,1878.47998046875,3025020000,79.44803619384766,1637500,78.57611846923828,812800,80.30570983886719,6000600
2014-05-12,,,,,1896.6500244140625,3005740000,80.34741973876953,1847400,78.51110076904297,472900,79.98088073730469,4563800
2014-05-13,,,,,1897.449951171875,2915680000,80.29834747314453,1526600,78.64119720458984,577500,80.67390441894531,5501000
2014-05-14,,,,,1888.530029296875,2822060000,79.85682678222656,1387500,78.86531829833984,1321600,81.54743957519531,8851400
2014-05-15,,,,,1870.8499755859375,3552640000,79.1209716796875,2149200,79.03160095214844,2408900,82.19715118408203,12627900
2014-05-16,,,,,1877.8599853515625,3173650000,79.45620727539062,1149800,78.94487762451172,558700,81.96614074707031,5019200
2014-05-19,,,,,1885.0799560546875,2664250000,79.82408142089844,1209700,78.91594696044922,945900,81.35978698730469,7403300
2014-05-20,,,,,1872.8299560546875,3007700000,79.22725677490234,1858800,78.95207977294922,1102200,81.5401840209961,6549800
2014-05-21,,,,,1888.030029296875,2777140000,79.84048461914062,1286400,78.92316436767578,804400,81.04212951660156,8224600
2014-05-22,,,,,1892.489990234375,2759800000,80.11028289794922,962400,78.88700866699219,633900,80.9266128540039,6495700
2014-05-23,,,,,1900.530029296875,2396280000,80.52728271484375,1171900,78.96656036376953,435500,81.35978698730469,3835000
2014-05-27,,,,,1911.9100341796875,2911020000,81.05870056152344,1458800,79.038818359375,762600,81.8361587524414,6658300
2014-05-28,,,,,1909.780029296875,2976450000,80.96876525878906,1383000,79.25570678710938,692300,82.84684753417969,10361000
2014-05-29,,,,,1920.030029296875,2709050000,81.40214538574219,1320000,79.21236419677734,981400,82.40655517578125,10692000
2014-05-30,,,,,1923.5699462890625,3263490000,81.41847229003906,1444700,79.28461456298828,5554700,82.37041473388672,6518900
2014-06-02,,,,,1924.969970703125,2509020000,81.51660919189453,2762600,79.04338836669922,2822900,81.75812530517578,11728200
2014-06-03,,,,,1924.239990234375,2867180000,81.48387908935547,942000,78.83340454101562,864600,80.75205993652344,12694100
2014-06-04,,,,,1927.8800048828125,2793920000,81.65558624267578,1754100,78.80443572998047,1445700,80.73035430908203,7882000
2014-06-05,,,,,1940.4599609375,3113270000,82.31785583496094,1797400,78.90584564208984,643500,80.76651000976562,6915600
2014-06-06,,,,,1949.43994140625,2864300000,82.74302673339844,1929400,78.86235046386719,839500,80.76651000976562,7832800
2014-06-09,,,,,1951.27001953125,2812180000,82.88201904296875,1683400,78.7899398803711,1133400,80.65074157714844,5162800
2014-06-10,,,,,1950.7900390625,2702360000,82.86566925048828,1569800,78.67401885986328,823300,80.35393524169922,5986000
2014-06-11,,,,,1943.8900146484375,2710620000,82.58769226074219,2068800,78.73199462890625,1171200,80.49873352050781,5569700
