date,btc_adj_close,btc_volume,eth_adj_close,eth_volume,sp500_adj_close,sp500_volume,vti_adj_close,vti_volume,agg_adj_close,agg_volume,tyield
2/1/2014,,,,,1831.97998,3080600000,77.64329529,3728200,76.92888641,1346600,3
3/1/2014,,,,,1831.369995,2774270000,77.62699127,3206300,76.95778656,2293500,3.01
6/1/2014,,,,,1826.77002,3294850000,77.42280579,3169400,77.05891418,4413900,2.98
7/1/2014,,,,,1837.880005,3511750000,77.9209671,2617200,77.09500122,1255700,2.96
8/1/2014,,,,,1837.48999,3652140000,77.97811127,3783100,76.86388397,1090800,3.01
9/1/2014,,,,,1838.130005,3581150000,78.04344177,3440500,76.97220612,829400,2.97
10/1/2014,,,,,1842.369995,3335710000,78.26393127,2903700,77.36225128,1484400,2.88
13/1/2014,,,,,1819.199951,3591350000,77.27583313,4322200,77.43451691,1139500,2.84
14/1/2014,,,,,1838.880005,3353270000,78.12511444,2660500,77.3189621,987500,2.88
15/1/2014,,,,,1848.380005,3777800000,78.51708221,2525100,77.25393677,1664800,2.9
16/1/2014,,,,,1845.890015,3491310000,78.45993805,3058200,77.43451691,3113700,2.86
17/1/2014,,,,,1838.699951,3626120000,78.15779114,2716300,77.47064209,588700,2.84
21/1/2014,,,,,1843.800049,3782470000,78.4190979,5557200,77.50675964,1777100,2.85
22/1/2014,,,,,1844.859985,3374170000,78.56606293,1860300,77.34059143,892900,2.87
23/1/2014,,,,,1828.459961,3972250000,77.88829803,3223500,77.54286194,1901200,2.79
24/1/2014,,,,,1790.290039,4618450000,76.20608521,7275200,77.70902252,783200,2.75
27/1/2014,,,,,1781.560059,4045200000,75.71612549,6664700,77.54286194,1335000,2.78
28/1/2014,,,,,1792.5,3437830000,76.24687958,10136000,77.67293549,1306400,2.77
29/1/2014,,,,,1774.199951,3964020000,75.4629364,4720200,77.90408325,1116200,2.69
30/1/2014,,,,,1794.189941,3547510000,76.34489441,2540800,77.91848755,3074400,2.72
31/1/2014,,,,,1782.589966,4059690000,75.84675598,4099600,78.06297302,3195200,2.67
3/2/2014,,,,,1741.890015,4726040000,74.06653595,6568100,78.32785034,1976100,2.61
