date,open,high,low,close,adj_close,volume
2014-01-02,101.72000122070312,102.38999938964844,101.69000244140625,102.16999816894531,73.02616119384766,8580800
2014-01-03,101.80999755859375,102.44999694824219,101.76000213623047,102.16999816894531,73.02616119384766,4083800
2014-01-06,102.37999725341797,103.0,102.37000274658203,102.5999984741211,73.33346557617188,7796200
2014-01-07,102.81999969482422,102.98999786376953,102.55999755859375,102.86000061035156,73.51934051513672,4428100
2014-01-08,102.44999694824219,102.69000244140625,102.0999984741211,102.58000183105469,73.31922912597656,8513000
2014-01-09,102.97000122070312,103.20999908447266,102.51000213623047,103.18000030517578,73.74807739257812,6991100
2014-01-10,103.7699966430664,104.54000091552734,103.69000244140625,104.41000366210938,74.62718200683594,13197400
2014-01-13,104.51000213623047,105.13999938964844,104.47000122070312,104.93000030517578,74.99884796142578,9667400
2014-01-14,104.6500015258789,104.83000183105469,104.38999938964844,104.44999694824219,74.65579986572266,10343100
2014-01-15,104.04000091552734,104.51000213623047,103.93000030517578,104.33999633789062,74.5771713256836,7507500
2014-01-16,104.8499984741211,105.06999969482422,104.72000122070312,105.04000091552734,75.0774917602539,7137700
2014-01-17,104.86000061035156,105.5199966430664,104.79000091552734,105.4800033569336,75.39202117919922,7588600
2014-01-21,105.44999694824219,105.73999786376953,105.4000015258789,105.55999755859375,75.44915771484375,6436000
2014-01-22,105.37000274658203,105.75,105.23999786376953,105.30000305175781,75.26331329345703,4646700
2014-01-23,105.87999725341797,107.08999633789062,105.87999725341797,106.79000091552734,76.32833862304688,12960600
2014-01-24,107.19000244140625,107.48999786376953,106.98999786376953,107.4800033569336,76.82150268554688,11122200
2014-01-27,107.22000122070312,107.5999984741211,106.69999694824219,106.7300033569336,76.28541564941406,9218200
2014-01-28,106.91000366210938,106.98999786376953,106.55000305175781,106.98999786376953,76.47126007080078,5661500
2014-01-29,107.37000274658203,108.1500015258789,106.98999786376953,107.87000274658203,77.10022735595703,11709400
2014-01-30,107.47000122070312,107.66999816894531,107.11000061035156,107.55999755859375,76.87867736816406,5956900
2014-01-31,108.19999694824219,108.41000366210938,107.8499984741211,108.27999877929688,77.39325714111328,14690900
2014-02-03,107.79000091552734,109.33999633789062,107.61000061035156,109.31999969482422,78.3363037109375,20780300
2014-02-04,108.5199966430664,108.66999816894531,107.97000122070312,108.16000366210938,77.50505828857422,9573500
2014-02-05,107.69000244140625,107.77999877929688,107.01000213623047,107.16000366210938,76.78850555419922,10312200
2014-02-06,106.97000122070312,107.0199966430664,106.5199966430664,106.69999694824219,76.45885467529297,5708700
2014-02-07,106.45999908447266,107.22000122070312,106.44000244140625,106.79000091552734,76.52340698242188,7039200
2014-02-10,106.61000061035156,107.12000274658203,106.56999969482422,107.08999633789062,76.73834228515625,4370500
2014-02-11,106.61000061035156,106.69000244140625,106.16000366210938,106.47000122070312,76.29403686523438,5904900
2014-02-12,106.16999816894531,106.20999908447266,105.62000274658203,105.91999816894531,75.89993286132812,6723300
2014-02-13,106.58999633789062,106.7300033569336,106.30000305175781,106.5199966430664,76.32986450195312,6874600
2014-02-14,106.56999969482422,106.63999938964844,106.2699966430664,106.58000183105469,76.37286376953125,4989100
2014-02-18,106.66000366210938,107.19999694824219,106.62000274658203,106.81999969482422,76.54479217529297,4855800
2014-02-19,107.18000030517578,107.18000030517578,106.30000305175781,106.37000274658203,76.22241973876953,5522500
2014-02-20,106.31999969482422,106.62999725341797,105.69000244140625,106.11000061035156,76.0361099243164,5103200
2014-02-21,105.94999694824219,106.68000030517578,105.94999694824219,106.66999816894531,76.4373550415039,5250700
2014-02-24,106.69999694824219,106.73999786376953,106.16999816894531,106.4000015258789,76.2438735961914,3816700
2014-02-25,106.91000366210938,107.36000061035156,106.88999938964844,107.3499984741211,76.92462921142578,6225400
2014-02-26,107.30999755859375,107.91999816894531,107.23999786376953,107.91999816894531,77.3331069946289,7203900
2014-02-27,108.27999877929688,108.55999755859375,108.0999984741211,108.51000213623047,77.75587463378906,5394700
2014-02-28,108.27999877929688,108.73999786376953,107.77999877929688,108.56999969482422,77.798828125,8462600
2014-03-03,108.87999725341797,109.18000030517578,108.63999938964844,109.02999877929688,78.31824493408203,11089400
2014-03-04,108.3499984741211,108.3499984741211,107.36000061035156,107.38999938964844,77.14017486572266,8068100
2014-03-05,107.33999633789062,107.77999877929688,107.19999694824219,107.62000274658203,77.30533599853516,4798500
2014-03-06,106.76000213623047,106.97000122070312,106.5199966430664,106.55999755859375,76.54396057128906,7418200
2014-03-07,105.63999938964844,106.16999816894531,105.5999984741211,105.88999938964844,76.06265258789062,8270300
2014-03-10,105.94000244140625,106.11000061035156,105.77999877929688,106.04000091552734,76.17047119140625,3744300
2014-03-11,105.9800033569336,106.33999633789062,105.77999877929688,106.31999969482422,76.37161254882812,3815700
2014-03-12,106.91999816894531,107.26000213623047,106.77999877929688,107.05999755859375,76.90310668945312,6430500
2014-03-13,106.69999694824219,108.52999877929688,106.6500015258789,108.5,77.93751525878906,11815500
2014-03-14,108.97000122070312,108.9800033569336,108.31999969482422,108.5199966430664,77.95191192626953,9232800
2014-03-17,108.18000030517578,108.30000305175781,107.66999816894531,107.70999908447266,77.37004089355469,7381900
2014-03-18,107.68000030517578,108.1500015258789,107.5999984741211,108.0999984741211,77.65017700195312,4819500
2014-03-19,107.91999816894531,107.9800033569336,106.80999755859375,107.26000213623047,77.04679107666016,11557600
2014-03-20,107.08999633789062,107.62999725341797,106.98999786376953,107.06999969482422,76.91032409667969,5224400
2014-03-21,107.41000366210938,108.31999969482422,107.37000274658203,108.2300033569336,77.74357604980469,8986200
2014-03-24,108.05000305175781,109.08999633789062,107.94999694824219,109.0,78.29662322998047,7536400
2014-03-25,108.41000366210938,108.81999969482422,108.16999816894531,108.58999633789062,78.00210571289062,5032000
2014-03-26,108.55000305175781,109.4800033569336,108.4800033569336,109.44000244140625,78.61270141601562,7147200
2014-03-27,109.63999938964844,110.38999938964844,109.41999816894531,109.98999786376953,79.00775909423828,9772200
2014-03-28,109.86000061035156,109.88999938964844,109.0199966430664,109.37000274658203,78.56243133544922,6027000
2014-03-31,108.73999786376953,111.06999969482422,108.33999633789062,109.0999984741211,78.36851501464844,7488400
2014-04-01,108.26000213623047,108.36000061035156,107.83999633789062,107.88999938964844,77.6987533569336,9067300
2014-04-02,107.38999938964844,107.55000305175781,107.16999816894531,107.2699966430664,77.25225067138672,6887200
2014-04-03,107.5199966430664,107.94000244140625,107.44000244140625,107.73999786376953,77.5906982421875,4937400
2014-04-04,107.87000274658203,108.69000244140625,107.8499984741211,108.45999908447266,78.10923767089844,8977500
2014-04-07,108.62000274658203,109.29000091552734,108.5999984741211,109.11000061035156,78.57734680175781,7562500
2014-04-08,109.02999877929688,109.47000122070312,108.72000122070312,109.37000274658203,78.76457977294922,4213800
2014-04-09,108.87999725341797,109.3499984741211,108.63999938964844,108.83000183105469,78.37567138671875,5771500
2014-04-10,108.91999816894531,110.22000122070312,108.9000015258789,109.83999633789062,79.10307312011719,12706400
2014-04-11,110.54000091552734,110.79000091552734,110.12999725341797,110.7300033569336,79.7440185546875,10267000
2014-04-14,110.4800033569336,110.69999694824219,110.30000305175781,110.44000244140625,79.53517150878906,4142600
2014-04-15,110.61000061035156,111.51000213623047,110.3499984741211,111.12999725341797,80.03211212158203,7752000
2014-04-16,110.43000030517578,111.2699966430664,110.37999725341797,111.2699966430664,80.13292694091797,5523000
2014-04-17,111.37000274658203,111.44999694824219,109.69999694824219,110.05000305175781,79.25430297851562,8622500
2014-04-21,110.37000274658203,110.62000274658203,109.83999633789062,109.95999908447266,79.18950653076172,4316300
2014-04-22,109.66000366210938,110.48999786376953,109.61000061035156,110.33000183105469,79.4559555053711,5748700
2014-04-23,110.5999984741211,111.05000305175781,110.52999877929688,110.95999908447266,79.90965270996094,5748600
2014-04-24,110.44999694824219,111.20999908447266,110.44999694824219,111.16999816894531,80.06089782714844,6337800
